Абсолютный путь;Относительный путь;Класс
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0001.jpg;dataset/changed_dataset/cat_0001.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0002.jpg;dataset/changed_dataset/cat_0002.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0003.jpg;dataset/changed_dataset/cat_0003.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0004.jpg;dataset/changed_dataset/cat_0004.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0005.jpg;dataset/changed_dataset/cat_0005.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0006.jpg;dataset/changed_dataset/cat_0006.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0007.jpg;dataset/changed_dataset/cat_0007.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0008.jpg;dataset/changed_dataset/cat_0008.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0009.jpg;dataset/changed_dataset/cat_0009.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0010.jpg;dataset/changed_dataset/cat_0010.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0011.jpg;dataset/changed_dataset/cat_0011.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0012.jpg;dataset/changed_dataset/cat_0012.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0013.jpg;dataset/changed_dataset/cat_0013.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0014.jpg;dataset/changed_dataset/cat_0014.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0015.jpg;dataset/changed_dataset/cat_0015.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0016.jpg;dataset/changed_dataset/cat_0016.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0017.jpg;dataset/changed_dataset/cat_0017.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0018.jpg;dataset/changed_dataset/cat_0018.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0019.jpg;dataset/changed_dataset/cat_0019.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0020.jpg;dataset/changed_dataset/cat_0020.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0021.jpg;dataset/changed_dataset/cat_0021.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0022.jpg;dataset/changed_dataset/cat_0022.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0023.jpg;dataset/changed_dataset/cat_0023.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0024.jpg;dataset/changed_dataset/cat_0024.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0025.jpg;dataset/changed_dataset/cat_0025.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0026.jpg;dataset/changed_dataset/cat_0026.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0027.jpg;dataset/changed_dataset/cat_0027.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0028.jpg;dataset/changed_dataset/cat_0028.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0029.jpg;dataset/changed_dataset/cat_0029.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0030.jpg;dataset/changed_dataset/cat_0030.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0031.jpg;dataset/changed_dataset/cat_0031.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0032.jpg;dataset/changed_dataset/cat_0032.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0033.jpg;dataset/changed_dataset/cat_0033.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0034.jpg;dataset/changed_dataset/cat_0034.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0035.jpg;dataset/changed_dataset/cat_0035.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0036.jpg;dataset/changed_dataset/cat_0036.jpg;cat
C:\Users\misha\third_lab\dataset\changed_dataset\cat_0037.jpg;dataset/changed_dataset/cat_0037.jpg;cat
