Абсолютный путь;Относительный путь;Класс
C:\Users\misha\second_lab\dataset\cat\0001.jpg;dataset/random_dataset/8260.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0002.jpg;dataset/random_dataset/3695.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0003.jpg;dataset/random_dataset/8779.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0004.jpg;dataset/random_dataset/7013.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0005.jpg;dataset/random_dataset/9775.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0006.jpg;dataset/random_dataset/5186.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0007.jpg;dataset/random_dataset/3169.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0008.jpg;dataset/random_dataset/8218.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0009.jpg;dataset/random_dataset/9854.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0010.jpg;dataset/random_dataset/7295.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0011.jpg;dataset/random_dataset/3286.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0012.jpg;dataset/random_dataset/1382.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0013.jpg;dataset/random_dataset/5165.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0014.jpg;dataset/random_dataset/8344.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0015.jpg;dataset/random_dataset/3331.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0016.jpg;dataset/random_dataset/6752.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0017.jpg;dataset/random_dataset/5655.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0018.jpg;dataset/random_dataset/8513.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0019.jpg;dataset/random_dataset/7143.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0020.jpg;dataset/random_dataset/1905.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0021.jpg;dataset/random_dataset/2358.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0022.jpg;dataset/random_dataset/4553.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0023.jpg;dataset/random_dataset/8412.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0024.jpg;dataset/random_dataset/9869.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0025.jpg;dataset/random_dataset/9046.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0026.jpg;dataset/random_dataset/2511.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0027.jpg;dataset/random_dataset/9970.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0028.jpg;dataset/random_dataset/5423.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0029.jpg;dataset/random_dataset/7615.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0030.jpg;dataset/random_dataset/3571.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0031.jpg;dataset/random_dataset/6169.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0032.jpg;dataset/random_dataset/5778.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0033.jpg;dataset/random_dataset/3823.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0034.jpg;dataset/random_dataset/6061.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0035.jpg;dataset/random_dataset/8216.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0036.jpg;dataset/random_dataset/1526.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0037.jpg;dataset/random_dataset/0061.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0038.jpg;dataset/random_dataset/8768.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0039.jpg;dataset/random_dataset/0213.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0040.jpg;dataset/random_dataset/4665.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0041.jpg;dataset/random_dataset/6324.jpg;cat
C:\Users\misha\second_lab\dataset\cat\0042.jpg;dataset/random_dataset/2356.jpg;cat
